amount,merchant_type,location,time_of_day,fraud
56.31,fashion,FL,afternoon,0
361.21,travel,CA,afternoon,0
158.01,travel,NY,night,0
109.55,electronics,FL,morning,0
20.35,grocery,NY,morning,0
20.35,travel,FL,evening,0
7.18,electronics,FL,night,1
241.35,fashion,CA,evening,0
110.29,fashion,TX,afternoon,0
147.75,fashion,TX,morning,0
2.5,fashion,CA,evening,0
420.43,electronics,FL,evening,0
214.37,grocery,TX,morning,0
28.64,electronics,TX,afternoon,0
24.08,grocery,TX,evening,0
24.31,fashion,CA,evening,0
43.53,travel,NY,night,0
89.27,travel,NY,night,0
67.86,travel,NY,morning,0
41.31,grocery,NY,morning,0
113.56,fashion,NY,afternoon,0
18.03,electronics,TX,afternoon,0
41.46,travel,TX,evening,0
54.75,grocery,FL,night,1
73.07,travel,TX,afternoon,0
184.55,electronics,CA,evening,0
26.73,fashion,FL,evening,0
86.64,electronics,TX,morning,0
107.7,fashion,FL,night,1
5.71,fashion,FL,evening,0
112.24,fashion,NY,morning,0
22.44,travel,FL,evening,0
8.07,electronics,TX,night,0
356.84,travel,NY,evening,0
404.48,electronics,TX,evening,0
198.28,grocery,NY,afternoon,0
43.59,grocery,TX,afternoon,0
12.33,electronics,NY,morning,0
138.33,electronics,NY,evening,0
69.61,electronics,CA,morning,0
15.62,electronics,TX,night,0
82.03,fashion,FL,morning,0
4.2,travel,NY,evening,0
288.05,fashion,TX,afternoon,0
35.93,travel,NY,afternoon,0
130.35,travel,CA,morning,0
44.83,travel,CA,afternoon,0
88.09,fashion,CA,evening,0
94.95,electronics,CA,evening,0
24.53,fashion,FL,night,1
419.14,fashion,FL,afternoon,0
179.07,travel,NY,afternoon,0
336.61,grocery,TX,night,0
270.26,grocery,CA,morning,0
109.33,fashion,CA,night,0
305.93,travel,FL,afternoon,0
11.12,fashion,FL,morning,0
26.18,fashion,CA,evening,0
5.55,electronics,TX,evening,0
47.22,travel,NY,night,0
59.06,grocery,NY,evening,0
37.99,grocery,NY,afternoon,0
211.75,grocery,NY,night,0
52.95,fashion,TX,afternoon,0
39.58,travel,TX,afternoon,0
93.89,electronics,TX,morning,0
18.23,grocery,FL,morning,0
194.46,travel,CA,morning,0
9.3,grocery,TX,evening,0
520.1,electronics,NY,morning,1
177.54,travel,TX,afternoon,0
26.58,fashion,CA,night,0
0.66,fashion,FL,night,1
202.79,grocery,NY,afternoon,0
147.25,grocery,FL,evening,0
156.68,travel,TX,night,0
177.03,electronics,NY,afternoon,0
9.23,grocery,NY,afternoon,0
53.27,travel,TX,afternoon,0
14.78,electronics,TX,night,0
238.62,grocery,CA,night,0
117.16,grocery,TX,morning,0
48.22,travel,TX,morning,0
7.88,grocery,TX,afternoon,0
44.7,fashion,NY,afternoon,0
47.2,electronics,CA,afternoon,0
156.95,electronics,NY,afternoon,0
121.79,fashion,TX,night,0
261.87,travel,CA,morning,0
76.69,fashion,TX,evening,0
15.28,fashion,NY,afternoon,0
149.9,electronics,NY,morning,0
171.65,travel,TX,afternoon,0
98.87,grocery,CA,night,0
176.87,fashion,NY,evening,0
81.7,fashion,TX,morning,0
88.76,travel,FL,morning,0
66.94,fashion,TX,evening,0
3.09,travel,TX,night,0
13.7,grocery,CA,evening,0
3.83,travel,TX,morning,0
121.41,grocery,FL,evening,0
45.29,travel,TX,night,0
85.25,fashion,FL,night,1
285.75,grocery,NY,afternoon,0
34.41,fashion,TX,evening,0
63.39,grocery,CA,evening,0
169.05,travel,TX,morning,0
31.18,travel,FL,night,1
9.61,travel,FL,evening,0
41.06,electronics,CA,morning,0
21.1,electronics,FL,afternoon,0
